tokeniser_type,delta,vocab_size,compression_rate
ScribeTokens,1,5000,0.5397857377505526
ScribeTokens,1,10000,0.6161669006600217
ScribeTokens,1,15000,0.6620048571694861
ScribeTokens,1,20000,0.6947445779255721
ScribeTokens,1,25000,0.7199302723066376
ScribeTokens,1,30000,0.7403041548585942
ScribeTokens,1,35000,0.7575878679768728
ScribeTokens,1,40000,0.7723151914740266
ScribeTokens,1,45000,0.7848946437543814
ScribeTokens,1,50000,0.7962691450787045
ScribeTokens,1,55000,0.8058430314746328
ScribeTokens,1,60000,0.8147458142572573
ScribeTokens,1,65000,0.8229812654975365
ScribeTokens,1,70000,0.8307896387455704
ScribeTokens,1,75000,0.8374121070795972
ScribeTokens,1,80000,0.8440808710724903
ScribeTokens,1,85000,0.8497072592396175
ScribeTokens,1,90000,0.8555424834015147
ScribeTokens,1,95000,0.8603575872724205
ScribeTokens,1,100000,0.865405220012158
ScribeTokens,2,5000,0.8345303228632966
ScribeTokens,2,10000,0.9275571006851266
ScribeTokens,2,15000,0.9831283430784818
ScribeTokens,2,20000,1.022757005687052
ScribeTokens,2,25000,1.0532237826692896
ScribeTokens,2,30000,1.078744822572211
ScribeTokens,2,35000,1.0999212522018222
ScribeTokens,2,40000,1.1181312584084566
ScribeTokens,2,45000,1.134101302925922
ScribeTokens,2,50000,1.1485867398538152
ScribeTokens,2,55000,1.1614855246948659
ScribeTokens,2,60000,1.1731776728199121
ScribeTokens,2,65000,1.1843019787767803
ScribeTokens,2,70000,1.19400510540587
ScribeTokens,2,75000,1.2034773674402572
ScribeTokens,2,80000,1.2123212122964604
ScribeTokens,2,85000,1.2197376599887013
ScribeTokens,2,90000,1.2271205777138705
ScribeTokens,2,95000,1.234138164561555
ScribeTokens,2,100000,1.2411200208135635
ScribeTokens,4,5000,1.2988448990633599
ScribeTokens,4,10000,1.4253581619385742
ScribeTokens,4,15000,1.500797230900565
ScribeTokens,4,20000,1.555462610126703
ScribeTokens,4,25000,1.598441931038434
ScribeTokens,4,30000,1.6337012932403654
ScribeTokens,4,35000,1.662424419554646
ScribeTokens,4,40000,1.6868535266731297
ScribeTokens,4,45000,1.7078690913928685
ScribeTokens,4,50000,1.7270159511118879
ScribeTokens,4,55000,1.7430641510644151
ScribeTokens,4,60000,1.7580185308883054
ScribeTokens,4,65000,1.771378421035757
ScribeTokens,4,70000,1.781981153608982
ScribeTokens,4,75000,1.7928435286288285
ScribeTokens,4,80000,1.8027615935546961
ScribeTokens,4,85000,1.8117965496300614
ScribeTokens,4,90000,1.8202931411804988
ScribeTokens,4,95000,1.8267935806572153
ScribeTokens,4,100000,1.8338010246948495
ScribeTokens,8,5000,1.9976761413053257
ScribeTokens,8,10000,2.176542280768623
ScribeTokens,8,15000,2.277865382621299
ScribeTokens,8,20000,2.346354090618995
ScribeTokens,8,25000,2.3961848919508766
ScribeTokens,8,30000,2.434970381869424
ScribeTokens,8,35000,2.466007815815438
ScribeTokens,8,40000,2.490388342910713
ScribeTokens,8,45000,2.5125256103057905
ScribeTokens,8,50000,2.5311075573490833
ScribeTokens,8,55000,2.5455876848126806
ScribeTokens,8,60000,2.5592763098704494
ScribeTokens,8,65000,2.5722970411077126
ScribeTokens,8,70000,2.5833251927187364
ScribeTokens,8,75000,2.5937683633260473
ScribeTokens,8,80000,2.603000242233324
ScribeTokens,8,85000,2.6105000114295533
ScribeTokens,8,90000,2.617262913202366
ScribeTokens,8,95000,2.621654603490663
ScribeTokens,8,100000,2.625258656391281
ScribeTokens,16,5000,2.9169400621870585
ScribeTokens,16,10000,3.117143429970445
ScribeTokens,16,15000,3.22181922754853
ScribeTokens,16,20000,3.290040891194884
ScribeTokens,16,25000,3.3362665988228346
ScribeTokens,16,30000,3.37362051462002
ScribeTokens,16,35000,3.3997883124467507
ScribeTokens,16,40000,3.4226954155377607
ScribeTokens,16,45000,3.442764535404205
ScribeTokens,16,50000,3.4599323015300403
ScribeTokens,16,55000,3.4721982544016
ScribeTokens,16,60000,3.4799100814871515
ScribeTokens,16,65000,3.487146790354829
ScribeTokens,16,70000,3.4948107916281894
ScribeTokens,16,75000,3.501440923722473
ScribeTokens,16,80000,3.5093947280107907
ScribeTokens,16,85000,3.5162253644864245
ScribeTokens,16,90000,3.5228348147878914
ScribeTokens,16,95000,3.5285785948612967
ScribeTokens,16,100000,3.534249278782584
ScribeTokens,32,5000,3.986066049471737
ScribeTokens,32,10000,4.176972757477427
ScribeTokens,32,15000,4.274650161007494
